names,province,addresses,counts,points
恭王府,北京,北京市西城区什刹海前海西街17号,4034,"116.393097,39.942341"
八达岭长城,北京,北京市延庆县军都山关沟古道北口216省道附近,6910,"116.03293,40.369733"
颐和园,北京,北京市海淀区新建宫门路19号,8234,"116.276887,39.999497"
天坛公园,北京,北京市东城区天坛内东里7号,3750,"116.417313,39.887976"
故宫,北京,北京市东城区景山前街4号,12018,"116.403347,39.922148"
圆明园,北京,北京市海淀区清华西路28号,3374,"116.314607,40.01629"
鸟巢,北京,北京市朝阳区国家体育场南路1号奥林匹克公园内,2429,"116.404487,40.000484"
中国国家博物馆,北京,北京东城区东长安街16号天安门广场东侧,1964,"116.40066,39.90536"
明十三陵,北京,北京市昌平区十三陵特区,470,"116.234094,40.300017"
毛主席纪念堂,北京,北京市东城区天安门广场人民英雄纪念碑南面,1028,"116.404158,39.909201"
天安门广场,北京,北京市东城区天安门,1656,"116.404015,39.912729"
清华大学,北京,北京市海淀区双清路30号,492,"116.332498,39.996652"
北海公园,北京,北京市西城区文津街1号（故宫北）,1574,"116.398222,39.939528"
中国人民革命军事博物馆,北京,北京市海淀区复兴路9号,706,"116.330745,39.915462"
景山公园,北京,北京市西城区景山西街44号,606,"116.40302,39.932031"
八达岭长城缆车,北京,北京市延庆县军都山关沟古道北口八达岭长城景区内,1134,"116.020213,40.367229"
纪晓岚故居,北京,北京市西城区（原宣武区）珠市口西大街241号,380,"116.393596,39.896121"
北京动物园,北京,北京市西城区西直门外大街137号,3666,"116.34331,39.947983"
水立方,北京,北京市朝阳区天辰东路11号奥林匹克公园内,370,"116.396015,39.999061"
中国科学技术馆,北京,北京市朝阳区北辰东路5号,1040,"116.405132,40.012256"
慕田峪长城,北京,北京市怀柔区慕田峪村,1094,"116.57035,40.437612"
雍和宫,北京,北京市雍和宫大街12号,768,"116.423433,39.954954"
北京知青旧居,北京,陕西省延安市宜川县羊家庄,108,"110.417031,36.196232"
北京大学,北京,北京市海淀区颐和园路5号,230,"116.316176,39.997741"
奥林匹克公园,北京,北京市朝阳区天辰东路11号,252,"116.39611,39.994915"
定陵,北京,北京市昌平区十三陵特区明十三陵,186,"116.233071,40.30027"
北京园博园,北京,北京市丰台区永定河畔,846,"116.195753,39.88455"
居庸关长城,北京,北京市昌平区南口镇居庸关长城,518,"116.081732,40.295477"
香山公园,北京,北京市海淀区买卖街40号,246,"116.203098,39.996942"
故宫讲解,北京,北京市东城区景山前街4号故宫博物院内,128,"116.403438,39.924455"
中国国家大剧院,北京,北京市西城区西长安街2号,158,"116.396436,39.913224"
玉渊潭公园,北京,北京市海淀区西三环中路10号,2928,"116.32638,39.922645"
什刹海,北京,北京市西城区羊房胡同,82,"116.390595,39.949373"
北京海洋馆,北京,北京市海淀区高粱桥斜街乙18号,1628,"116.347505,39.95032"
北京杜莎夫人蜡像馆,北京,北京市东城区前门大街8号,150,"116.404547,39.903732"
故宫博物馆,北京,天安门广场北侧,70,"0.0,0.0"
珍宝馆,北京,北京市东城区景山前街4号,198,"116.403413,39.921947"
中央电视塔,北京,北京市海淀区西三环中路11号,276,"116.312768,39.925467"
天安门城楼,北京,北京市东城区天安门院内西侧,54,"116.403857,39.915291"
圣泉山,北京,北京市怀柔区桥梓镇口头村,24,"116.588333,40.371208"
宋庆龄故居,北京,北京市西城区后海北沿西端46号,112,"116.389564,39.951738"
中山公园,北京,北京市东城区天安门广场中华路4号,62,"116.400754,39.916998"
前门大街,北京,北京市东城区（原崇文区）前门,12,"116.40441051109,39.903750211675"
北京欢乐谷,北京,北京市朝阳区东四环小武基北路,1216,"116.500803,39.873539"
